rank,country,population
–,"<img alt=""Flag of Artsakh.svg"" data-file-height=""540"" data-file-width=""1080"" decoding=""async"" height=""11"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Flag_of_Artsakh.svg/22px-Flag_of_Artsakh.svg.png"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Flag_of_Artsakh.svg/33px-Flag_of_Artsakh.svg.png 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Flag_of_Artsakh.svg/44px-Flag_of_Artsakh.svg.png 2x"" width=""22""/>","148,000"
178,Kiribati,"120,100"
–,Aruba,"112,309"
179,Grenada,"112,003"
180,Saint Vincent and the Grenadines,"110,608"
–,Jersey,"106,800"
–,U.S. Virgin Islands,"104,578"
181,F.S. Micronesia,"104,468"
182,Tonga,"100,651"
183,Seychelles,"97,625"
184,Antigua and Barbuda,"96,453"
–,Isle of Man,"83,314"
185,Andorra,"77,543"
186,Dominica,"71,808"
–,Cayman Islands,"65,813"
–,Bermuda,"64,027"
–,Guernsey,"62,792"
–,American Samoa,"56,700"
–,Greenland,"56,081"
–,Northern Mariana Islands,"56,200"
187,Marshall Islands,"55,500"
–,South Ossetia,"53,532"
188,Saint Kitts and Nevis,"52,823"
–,Faroe Islands,"52,124"
–,Turks and Caicos Islands,"41,369"
–,Sint Maarten,"40,614"
189,Liechtenstein,"38,749"
190,Monaco,"38,300"
–,"<img alt="""" class=""thumbborder"" data-file-height=""600"" data-file-width=""900"" decoding=""async"" height=""15"" src=""//upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/23px-Flag_of_France.svg.png"" srcset=""//upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/35px-Flag_of_France.svg.png 1.5x, //upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/45px-Flag_of_France.svg.png 2x"" width=""23""/>","35,746"
–,Gibraltar,"33,701"
191,San Marino,"33,574"
–,British Virgin Islands,"30,030"
–,Åland Islands,"29,885"
192,Palau,"17,900"
–,Cook Islands,"15,200"
–,Anguilla,"14,869"
–,Wallis and Futuna,"11,700"
193,Nauru,"11,000"
194,Tuvalu,"10,200"
–,Saint Barthélemy,"9,793"
–,Saint Pierre and Miquelon,"6,008"
–,"Saint Helena, Ascension","5,633"
–,Montserrat,"4,989"
–,Falkland Islands,"3,198"
–,Christmas Island,"1,928"
–,Norfolk Island,"1,756"
–,Niue,"1,520"
–,Tokelau,"1,400"
195,Vatican City,799
–,Cocos (Keeling) Islands,538
–,Pitcairn Islands,50
